DateTime,Ask,Bid,Ask Volume,Bid Volume
15.09.2023 09:03:50.618,1.06667,1.06663,0,0
15.09.2023 09:03:51.212,1.06666,1.06663,0,0
15.09.2023 09:03:51.326,1.06665,1.06663,0,0
15.09.2023 09:03:51.432,1.06663,1.06662,0,0
15.09.2023 09:03:51.536,1.06663,1.0666,0,0
15.09.2023 09:03:51.996,1.06662,1.0666,0,0
15.09.2023 09:03:52.405,1.06661,1.06659,0,0
15.09.2023 09:03:53.135,1.0666,1.06659,0,0
15.09.2023 09:03:54.889,1.06661,1.06659,0,0
15.09.2023 09:03:55.116,1.0666,1.06659,0,0
15.09.2023 09:03:55.444,1.06661,1.0666,0,0
15.09.2023 09:03:55.549,1.06662,1.06661,0,0
15.09.2023 09:03:55.684,1.06663,1.06661,0,0
15.09.2023 09:03:56.602,1.06663,1.06662,0,0
15.09.2023 09:03:56.807,1.06663,1.06661,0,0
15.09.2023 09:03:56.909,1.06664,1.06661,0,0
15.09.2023 09:03:57.982,1.06664,1.06662,0,0
15.09.2023 09:03:58.085,1.06664,1.06661,0,0
15.09.2023 09:03:58.735,1.06663,1.06661,0,0
15.09.2023 09:03:58.838,1.06663,1.0666,0,0
15.09.2023 09:03:59.224,1.06662,1.06659,0,0
15.09.2023 09:03:59.558,1.06662,1.0666,0,0
15.09.2023 09:04:00.397,1.06663,1.0666,0,0
15.09.2023 09:04:00.500,1.06663,1.06661,0,0
15.09.2023 09:04:02.280,1.06663,1.06662,0,0
15.09.2023 09:04:02.436,1.06664,1.06662,0,0
15.09.2023 09:04:04.614,1.06664,1.06663,0,0
15.09.2023 09:04:04.719,1.06666,1.06664,0,0
15.09.2023 09:04:04.826,1.06667,1.06665,0,0
15.09.2023 09:04:05.211,1.06667,1.06666,0,0
15.09.2023 09:04:05.467,1.06666,1.06665,0,0
15.09.2023 09:04:05.570,1.06666,1.06664,0,0
15.09.2023 09:04:05.832,1.06666,1.06663,0,0
15.09.2023 09:04:07.503,1.06665,1.06663,0,0
15.09.2023 09:04:08.263,1.06666,1.06664,0,0
15.09.2023 09:04:08.417,1.06667,1.06665,0,0
15.09.2023 09:04:11.288,1.06666,1.06664,0,0
15.09.2023 09:04:11.391,1.06665,1.06664,0,0
15.09.2023 09:04:12.310,1.06666,1.06664,0,0
15.09.2023 09:04:12.464,1.06667,1.06664,0,0
15.09.2023 09:04:12.720,1.06666,1.06664,0,0
15.09.2023 09:04:13.031,1.06665,1.06664,0,0
15.09.2023 09:04:13.865,1.06666,1.06664,0,0
15.09.2023 09:04:13.968,1.06665,1.06664,0,0
15.09.2023 09:04:14.410,1.06665,1.06663,0,0
15.09.2023 09:04:14.514,1.06666,1.06663,0,0
15.09.2023 09:04:15.459,1.06665,1.06663,0,0
15.09.2023 09:04:15.561,1.06666,1.06663,0,0
15.09.2023 09:04:15.664,1.06665,1.06663,0,0
15.09.2023 09:04:15.923,1.06665,1.06662,0,0
15.09.2023 09:04:16.026,1.06665,1.06663,0,0
15.09.2023 09:04:18.829,1.06664,1.06662,0,0
15.09.2023 09:04:18.882,1.06662,1.0666,0,0
15.09.2023 09:04:19.036,1.06662,1.06659,0,0
15.09.2023 09:04:19.564,1.06663,1.0666,0,0
15.09.2023 09:04:20.327,1.06663,1.06661,0,0
15.09.2023 09:04:20.505,1.06663,1.0666,0,0
15.09.2023 09:04:20.609,1.06662,1.0666,0,0
15.09.2023 09:04:20.661,1.06662,1.06658,0,0
15.09.2023 09:04:20.764,1.06662,1.06659,0,0
15.09.2023 09:04:21.690,1.06662,1.06658,0,0
15.09.2023 09:04:21.793,1.06661,1.06658,0,0
15.09.2023 09:04:22.349,1.0666,1.06658,0,0
15.09.2023 09:04:23.080,1.06661,1.06658,0,0
15.09.2023 09:04:23.556,1.06662,1.0666,0,0
15.09.2023 09:04:24.763,1.0666,1.06659,0,0
15.09.2023 09:04:25.761,1.0666,1.06657,0,0
